commune_name_ascii,daira_name_ascii,wilaya_name_ascii
حنيف,M'chedallah,Bouira
شرفة,M'chedallah,Bouira
أولاد راشد,Bechloul,Bouira
عين الحجر,Ain Bessem,Bouira
أغبالو,M'chedallah,Bouira
روراوة,Bir Ghbalou,Bouira
الخبوزية,Bir Ghbalou,Bouira
بئر غبالو,Bir Ghbalou,Bouira
البويرة,Bouira,Bouira
عين الترك,Bouira,Bouira
أيت لعزيز,Bouira,Bouira
عين بسام,Ain Bessem,Bouira
المقراني,Souk El Khemis,Bouira
سوق الخميس,Souk El Khemis,Bouira
أعمر,Kadiria,Bouira
جباحية,Kadiria,Bouira
الهاشمية,El Hachimia,Bouira
حيزر,Haizer,Bouira
تاغزوت,Haizer,Bouira
بودربالة,Lakhdaria,Bouira
بوكرم,Lakhdaria,Bouira
قرومة,Lakhdaria,Bouira
الأخضرية,Lakhdaria,Bouira
معلة,Lakhdaria,Bouira
قادرية,Kadiria,Bouira
زبربر,Lakhdaria,Bouira
وادي البردي,El Hachimia,Bouira
تاظروك,Tazrouk,Tamanrasset
ابلسة,Silet,Tamanrasset
تمنراست,Tamanrasset,Tamanrasset
عين امقل,Tamanrasset,Tamanrasset
أدلس,Tazrouk,Tamanrasset
الحويجبات,El Malabiod,Tébessa
العوينات,El Aouinet,Tébessa
فركان,Negrine,Tébessa
نقرين,Negrine,Tébessa
بئر مقدم,Bir Mokadem,Tébessa
بئر الذهب,Morsott,Tébessa
صفصاف الوسرى,Oum Ali,Tébessa
قريقر,Bir Mokadem,Tébessa
بكارية,El Kouif,Tébessa
بولحاف الدير,El Kouif,Tébessa
أم علي,Oum Ali,Tébessa
بوخضرة,El Aouinet,Tébessa
الماء الابيض,El Malabiod,Tébessa
الونزة,Ouenza,Tébessa
المريج,Ouenza,Tébessa
عين الزرقاء,Ouenza,Tébessa
سطح قنطيس,El Ogla,Tébessa
العقلة,El Ogla,Tébessa
المزرعة,El Ogla,Tébessa
بجن,El Ogla,Tébessa
مرسط,Morsott,Tébessa
ثليجان,Cheria,Tébessa
الشريعة,Cheria,Tébessa
العقلة المالحة,Bir El Ater,Tébessa
بئر العاتر,Bir El Ater,Tébessa
تبسة,Tebessa,Tébessa
الحمامات,Bir Mokadem,Tébessa
الكويف,El Kouif,Tébessa
باب العسة,Bab El Assa,Tlemcen
تيرني بني هديل,Mansourah,Tlemcen
منصورة,Mansourah,Tlemcen
بني مستر,Mansourah,Tlemcen
عين غرابة,Mansourah,Tlemcen
شتوان,Chetouane,Tlemcen
عمير,Chetouane,Tlemcen
عين فزة,Chetouane,Tlemcen
هنين,Honnaine,Tlemcen
بني خلاد,Honnaine,Tlemcen
سيدي الجيلالي,Sidi Djillali,Tlemcen
البويهي,Sidi Djillali,Tlemcen
ندرومة,Nedroma,Tlemcen
مسيردة الفواقة,Marsa Ben Mehdi,Tlemcen
مرسى بن مهيدي,Marsa Ben Mehdi,Tlemcen
سيدي مجاهد,Beni Boussaid,Tlemcen
بني بوسعيد,Beni Boussaid,Tlemcen
سبدو,Sebdou,Tlemcen
القور,Sebdou,Tlemcen
العريشة,Sebdou,Tlemcen
بوحلو,Sabra,Tlemcen
مغنية,Maghnia,Tlemcen
حمام بوغرارة,Maghnia,Tlemcen
زناتة,Hennaya,Tlemcen
أولاد رياح,Hennaya,Tlemcen
الحناية,Hennaya,Tlemcen
سيدي العبدلي,Bensekrane,Tlemcen
سوق الثلاثاء,Bab El Assa,Tlemcen
بن سكران,Bensekrane,Tlemcen
فلاوسن,Fellaoucene,Tlemcen
عين الكبيرة,Fellaoucene,Tlemcen
عين فتاح,Fellaoucene,Tlemcen
تلمسان,Tlemcen,Tlemcen
عين النحالة,Ain Tellout,Tlemcen
عين تالوت,Ain Tellout,Tlemcen
عين يوسف,Remchi,Tlemcen
بني وارسوس,Remchi,Tlemcen
الفحول,Remchi,Tlemcen
الرمشي,Remchi,Tlemcen
سبعة شيوخ,Remchi,Tlemcen
السواني,Bab El Assa,Tlemcen
صبرة,Sabra,Tlemcen
دار يغمراسن,Ghazaouet,Tlemcen
الغزوات,Ghazaouet,Tlemcen
السواحلية,Ghazaouet,Tlemcen
تيانت,Ghazaouet,Tlemcen
بني صميل,Ouled Mimoun,Tlemcen
وادي الخضر,Ouled Mimoun,Tlemcen
أولاد ميمون,Ouled Mimoun,Tlemcen
بني بهدل,Beni Snous,Tlemcen
بني سنوس,Beni Snous,Tlemcen
العزايل,Beni Snous,Tlemcen
جبالة,Nedroma,Tlemcen
مهدية,Mahdia,Tiaret
عين دزاريت,Mahdia,Tiaret
السبعين,Mahdia,Tiaret
الفايجة,Sougueur,Tiaret
سي عبد الغني,Sougueur,Tiaret
السوقر,Sougueur,Tiaret
توسنينة,Sougueur,Tiaret
مغيلة,Meghila,Tiaret
السبت,Meghila,Tiaret
سيدي حسني,Meghila,Tiaret
عين الحديد,Frenda,Tiaret
فرندة,Frenda,Tiaret
تخمرت,Frenda,Tiaret
عين كرمس,Ain Kermes,Tiaret
جبيلات الرصفاء,Ain Kermes,Tiaret
مادنة,Ain Kermes,Tiaret
مدريسة,Ain Kermes,Tiaret
سيدي عبد الرحمن,Ain Kermes,Tiaret
قصر الشلالة,Ksar Chellala,Tiaret
قرطوفة,Rahouia,Tiaret
سرغين,Ksar Chellala,Tiaret
زمالة  الأمير عبد القادر,Ksar Chellala,Tiaret
وادي ليلي,Oued Lili,Tiaret
سيدي علي ملال,Oued Lili,Tiaret
جيلالي بن عمار,Mechraa Sfa,Tiaret
مشرع الصفا,Mechraa Sfa,Tiaret
تاقدمت,Mechraa Sfa,Tiaret
بوقرة,Hamadia,Tiaret
حمادية,Hamadia,Tiaret
الرشايقة,Hamadia,Tiaret
تيدة,Oued Lili,Tiaret
الناظورة,Mahdia,Tiaret
تيارت,Tiaret,Tiaret
مدروسة,Medroussa,Tiaret
ملاكو,Medroussa,Tiaret
سيدي بختي,Medroussa,Tiaret
عين الذهب,Ain Deheb,Tiaret
شحيمة,Ain Deheb,Tiaret
النعيمة,Ain Deheb,Tiaret
عين بوشقيف,Dahmouni,Tiaret
دحموني,Dahmouni,Tiaret
الرحوية,Rahouia,Tiaret
ميزرانـــة,Tigzirt,Tizi Ouzou
إيجــار,Bouzeguene,Tizi Ouzou
بني دوالة,Beni Douala,Tizi Ouzou
بني زيكــي,Bouzeguene,Tizi Ouzou
إيلولة أومـــالو,Bouzeguene,Tizi Ouzou
أقني قغران,Ouadhias,Tizi Ouzou
أيت بــوادو,Ouadhias,Tizi Ouzou
واضية,Ouadhias,Tizi Ouzou
تيزي نثلاثة,Ouadhias,Tizi Ouzou
أغريب,Azeffoun,Tizi Ouzou
أيت شافع,Azeffoun,Tizi Ouzou
أقرو,Azeffoun,Tizi Ouzou
أزفون,Azeffoun,Tizi Ouzou
إفليـــسن,Tigzirt,Tizi Ouzou
تيقـزيرت,Tigzirt,Tizi Ouzou
أسي يوسف,Boghni,Tizi Ouzou
بوغني,Boghni,Tizi Ouzou
بونوح,Boghni,Tizi Ouzou
مشطراس,Boghni,Tizi Ouzou
ذراع بن خدة,Draa Ben Khedda,Tizi Ouzou
سيدي نعمان,Draa Ben Khedda,Tizi Ouzou
تادمايت,Draa Ben Khedda,Tizi Ouzou
تيرمتين,Draa Ben Khedda,Tizi Ouzou
أيت بومهدي,Ouacif,Tizi Ouzou
أيت تودرت,Ouacif,Tizi Ouzou
بني عيسي,Beni Douala,Tizi Ouzou
واسيف,Ouacif,Tizi Ouzou
أيت خليلي,Mekla,Tizi Ouzou
مقــلع,Mekla,Tizi Ouzou
صوامـــع,Mekla,Tizi Ouzou
بني يني,Benni Yenni,Tizi Ouzou
إبودرارن,Benni Yenni,Tizi Ouzou
تيزي وزو,Tizi Ouzou,Tizi Ouzou
أبي يوسف,Ain El Hammam,Tizi Ouzou
عين الحمام,Ain El Hammam,Tizi Ouzou
أيت يحيى,Ain El Hammam,Tizi Ouzou
اقبيل,Ain El Hammam,Tizi Ouzou
بوجيمة,Makouda,Tizi Ouzou
ماكودة,Makouda,Tizi Ouzou
عين الزاوية,Draa El Mizan,Tizi Ouzou
أيت يحي موسى,Draa El Mizan,Tizi Ouzou
ذراع الميزان,Draa El Mizan,Tizi Ouzou
فريقات,Draa El Mizan,Tizi Ouzou
مكيرة,Tizi-Ghenif,Tizi Ouzou
تيزي غنيف,Tizi-Ghenif,Tizi Ouzou
يطــافن,Benni Yenni,Tizi Ouzou
إيلـيــلتـن,Iferhounene,Tizi Ouzou
إمســوحال,Iferhounene,Tizi Ouzou
عزازقة,Azazga,Tizi Ouzou
فريحة,Azazga,Tizi Ouzou
إيفيغاء,Azazga,Tizi Ouzou
إعــكورن,Azazga,Tizi Ouzou
زكري,Azazga,Tizi Ouzou
أيت عقـواشة,Larbaa Nath Iraten,Tizi Ouzou
إيرجـــن,Larbaa Nath Iraten,Tizi Ouzou
الأربعــاء ناث إيراثن,Larbaa Nath Iraten,Tizi Ouzou
أيت  أومالو,Tizi Rached,Tizi Ouzou
تيزي راشد,Tizi Rached,Tizi Ouzou
أيت عيسى ميمون,Ouaguenoun,Tizi Ouzou
واقنون,Ouaguenoun,Tizi Ouzou
تيمـيزار,Ouaguenoun,Tizi Ouzou
معـــاتقة,Maatkas,Tizi Ouzou
سوق الإثنين,Maatkas,Tizi Ouzou
أيت محمود,Beni Douala,Tizi Ouzou
بنــــي زمنزار,Beni Douala,Tizi Ouzou
إفــرحــونان,Iferhounene,Tizi Ouzou
بوزقــن,Bouzeguene,Tizi Ouzou
حسين داي,Hussein Dey,Alger
الكاليتوس,Baraki,Alger
سيدي موسى,Baraki,Alger
القبة,Hussein Dey,Alger
محمد بلوزداد,Hussein Dey,Alger
عين طاية,Dar El Beida,Alger
باب الزوار,Dar El Beida,Alger
برج الكيفان,Dar El Beida,Alger
الدار البيضاء,Dar El Beida,Alger
المرسى,Dar El Beida,Alger
المحمدية,Dar El Beida,Alger
بئر توتة,Birtouta,Alger
اولاد شبل,Birtouta,Alger
تسالة المرجة,Birtouta,Alger
هراوة,Rouiba,Alger
رغاية,Rouiba,Alger
الرويبة,Rouiba,Alger
المعالمة,Zeralda,Alger
الرحمانية,Zeralda,Alger
سويدانية,Zeralda,Alger
سطاوالي,Zeralda,Alger
زرالدة,Zeralda,Alger
بابا حسن,Draria,Alger
الدويرة,Draria,Alger
الدرارية,Draria,Alger
العاشور,Draria,Alger
الخرايسية,Draria,Alger
عين بنيان,Cheraga,Alger
الشراقة,Cheraga,Alger
دالي ابراهيم,Cheraga,Alger
الحمامات,Cheraga,Alger
اولاد فايت,Cheraga,Alger
الجزائر الوسطى,Sidi M'hamed,Alger
المدنية,Sidi M'hamed,Alger
المرادية,Sidi M'hamed,Alger
سيدي امحمد,Sidi M'hamed,Alger
السحاولة,Bir Mourad Rais,Alger
بولوغين بن زيري,Bab El Oued,Alger
القصبة,Bab El Oued,Alger
وادي قريش,Bab El Oued,Alger
الرايس حميدو,Bab El Oued,Alger
بئر مراد رايس,Bir Mourad Rais,Alger
بئر خادم,Bir Mourad Rais,Alger
جسر قسنطينة,Bir Mourad Rais,Alger
حيدرة,Bir Mourad Rais,Alger
المغارية,Hussein Dey,Alger
ابن عكنون,Bouzareah,Alger
بني مسوس,Bouzareah,Alger
بوزريعة,Bouzareah,Alger
الابيار,Bouzareah,Alger
باش جراح,El Harrach,Alger
بوروبة,El Harrach,Alger
الحراش,El Harrach,Alger
وادي السمار,El Harrach,Alger
براقي,Baraki,Alger
برج البحري,Dar El Beida,Alger
باب الوادي,Bab El Oued,Alger
حاسي العش,Hassi Bahbah,Djelfa
عين الإبل,Ain El Ibel,Djelfa
القديد,Charef,Djelfa
الشارف,Charef,Djelfa
بن يعقوب,Charef,Djelfa
سيدي بايزيد,Dar Chioukh,Djelfa
مليليحة,Dar Chioukh,Djelfa
دار الشيوخ,Dar Chioukh,Djelfa
تعظميت,Ain El Ibel,Djelfa
حد الصحاري,Had Sahary,Djelfa
بويرة الأحداب,Had Sahary,Djelfa
عين فقه,Had Sahary,Djelfa
سيدي لعجال,Sidi Laadjel,Djelfa
حاسي فدول,Sidi Laadjel,Djelfa
الخميس,Sidi Laadjel,Djelfa
سلمانة,Messaad,Djelfa
سد الرحال,Messaad,Djelfa
مسعد,Messaad,Djelfa
قطارة,Messaad,Djelfa
دلدول,Messaad,Djelfa
زكار,Ain El Ibel,Djelfa
دويس,El Idrissia,Djelfa
الادريسية,El Idrissia,Djelfa
عين الشهداء,El Idrissia,Djelfa
الجلفة,Djelfa,Djelfa
بيرين,Birine,Djelfa
أم العظام,Faidh El Botma,Djelfa
فيض البطمة,Faidh El Botma,Djelfa
عمورة,Faidh El Botma,Djelfa
زعفران,Hassi Bahbah,Djelfa
قرنيني,Ain Oussera,Djelfa
عين وسارة,Ain Oussera,Djelfa
بنهار,Birine,Djelfa
عين معبد,Hassi Bahbah,Djelfa
حاسي بحبح,Hassi Bahbah,Djelfa
مجبارة,Ain El Ibel,Djelfa
جيجل,Jijel,Jijel
العوانة,El Aouana,Jijel
سلمى بن زيادة,El Aouana,Jijel
أراقن سويسي,Ziamah Mansouriah,Jijel
بوسيف أولاد عسكر,Taher,Jijel
زيامة منصورية,Ziamah Mansouriah,Jijel
الشحنة,Taher,Jijel
الامير عبد القادر,Taher,Jijel
وجانة,Taher,Jijel
الطاهير,Taher,Jijel
الشقفة,Chekfa,Jijel
القنار نشفي,Chekfa,Jijel
سيدي عبد العزيز,Chekfa,Jijel
الميلية,El Milia,Jijel
أولاد يحيى خدروش,El Milia,Jijel
أولاد رابح,Sidi Marouf,Jijel
سيدي معروف,Sidi Marouf,Jijel
غبالة,Settara,Jijel
السطارة,Settara,Jijel
بوراوي بلهادف,El Ancer,Jijel
العنصر,El Ancer,Jijel
خيري واد عجول,El Ancer,Jijel
جيملة,Djimla,Jijel
قاوس,Texenna,Jijel
تاكسنة,Texenna,Jijel
برج الطهر,Chekfa,Jijel
بودريعة بني  ياجيس,Djimla,Jijel
الجمعة بني حبيبي,El Ancer,Jijel
الرصفة,Salah Bey,Sétif
واد البارد,Amoucha,Sétif
تيزي نبشار,Amoucha,Sétif
مزلوق,Ain Arnat,Sétif
قلال,Ain Oulmene,Sétif
قصر الابطال,Ain Oulmene,Sétif
أولاد سي أحمد,Ain Oulmene,Sétif
أيت نوال مزادة,Bouandas,Sétif
ايت تيزي,Bouandas,Sétif
بوعنداس,Bouandas,Sétif
بوسلام,Bouandas,Sétif
حمام السخنة,Hammam Sokhna,Sétif
الطاية,Hammam Sokhna,Sétif
التلة,Hammam Sokhna,Sétif
عين ولمان,Ain Oulmene,Sétif
بوطالب,Salah Bey,Sétif
الحامة,Salah Bey,Sétif
أولاد تبان,Salah Bey,Sétif
عموشة,Amoucha,Sétif
صالح باي,Salah Bey,Sétif
عين أزال,Ain Azel,Sétif
عين الحجر,Ain Azel,Sétif
بيضاء برج,Ain Azel,Sétif
بئر حدادة,Ain Azel,Sétif
قنزات,Guenzet,Sétif
حربيل,Guenzet,Sétif
عين الروى,Bougaa,Sétif
بني وسين,Bougaa,Sétif
أوريسيا,Ain Arnat,Sétif
بوقاعة,Bougaa,Sétif
ذراع قبيلة,Hammam Guergour,Sétif
حمام قرقور,Hammam Guergour,Sétif
سطيف,Setif,Sétif
عين الكبيرة,Ain El Kebira,Sétif
الدهامشة,Ain El Kebira,Sétif
أولاد عدوان,Ain El Kebira,Sétif
عين السبت,Beni Aziz,Sétif
بني عزيز,Beni Aziz,Sétif
معاوية,Beni Aziz,Sétif
بلاعة,Bir El Arch,Sétif
بئر العرش,Bir El Arch,Sétif
الولجة,Bir El Arch,Sétif
تاشودة,Bir El Arch,Sétif
تالة إيفاسن,Maoklane,Sétif
سرج الغول,Babor,Sétif
قجال,Guidjel,Sétif
أولاد صابر,Guidjel,Sétif
بازر سكرة,El Eulma,Sétif
العلمة,El Eulma,Sétif
قلتة زرقاء,El Eulma,Sétif
بني فودة,Djemila,Sétif
جميلة,Djemila,Sétif
عين لقراج,Beni Ourtilane,Sétif
بني شبانة,Beni Ourtilane,Sétif
بني ورتيلان,Beni Ourtilane,Sétif
بني موحلي,Beni Ourtilane,Sétif
عين عباسة,Ain Arnat,Sétif
عين أرنات,Ain Arnat,Sétif
بابور,Babor,Sétif
ماوكلان,Maoklane,Sétif
سعيدة,Saida,Saïda
